name,year_period,year,recclass,continent,country,mass_cleaned,mass_bin,recclass_clean,fall,reclat,reclong
Yamato 86360,20th Century,1986.0,H4,Antarctica,Antarctica,5.16,1-10g,H4,Found,-71.5,35.66667
Yamato 86361,20th Century,1986.0,H4,Antarctica,Antarctica,6.77,1-10g,H4,Found,-71.5,35.66667
Yamato 86362,20th Century,1986.0,H4,Antarctica,Antarctica,4.04,1-10g,H4,Found,-71.5,35.66667
Yamato 86363,20th Century,1986.0,H4,Antarctica,Antarctica,5.71,1-10g,H4,Found,-71.5,35.66667
Yamato 86364,20th Century,1986.0,H4,Antarctica,Antarctica,5.17,1-10g,H4,Found,-71.5,35.66667
Yamato 86365,20th Century,1986.0,H4,Antarctica,Antarctica,3.65,1-10g,H4,Found,-71.5,35.66667
Yamato 86366,20th Century,1986.0,H4,Antarctica,Antarctica,6.16,1-10g,H4,Found,-71.5,35.66667
Yamato 86367,20th Century,1986.0,H4,Antarctica,Antarctica,5.86,1-10g,H4,Found,-71.5,35.66667
Yamato 86368,20th Century,1986.0,H4,Antarctica,Antarctica,3.67,1-10g,H4,Found,-71.5,35.66667
Yamato 86369,20th Century,1986.0,H4,Antarctica,Antarctica,4.75,1-10g,H4,Found,-71.5,35.66667
